========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time
    101        SUCCESS        3            101        479.99        0.3        480.29
    266        SUCCESS        3            101        479.99        0.3        480.29
    431        SUCCESS        3            101        479.99        0.3        480.29
    106        SUCCESS        3            106        479.99        0.3        480.29
    271        SUCCESS        3            106        479.99        0.3        480.29
    436        SUCCESS        3            106        479.99        0.3        480.29
    57        SUCCESS        3            57        479.99        0.3        480.29
    222        SUCCESS        3            57        479.99        0.3        480.29
    387        SUCCESS        3            57        479.99        0.3        480.29
    62        SUCCESS        3            62        479.99        0.3        480.29
    227        SUCCESS        3            62        479.99        0.3        480.29
    392        SUCCESS        3            62        479.99        0.3        480.29
    67        SUCCESS        3            67        479.99        0.3        480.29
    232        SUCCESS        3            67        479.99        0.3        480.29
    397        SUCCESS        3            67        479.99        0.3        480.29
    72        SUCCESS        3            72        479.99        0.3        480.29
    237        SUCCESS        3            72        479.99        0.3        480.29
    402        SUCCESS        3            72        479.99        0.3        480.29
    77        SUCCESS        3            77        479.99        0.3        480.29
    242        SUCCESS        3            77        479.99        0.3        480.29
    407        SUCCESS        3            77        479.99        0.3        480.29
    82        SUCCESS        3            82        479.99        0.3        480.29
    247        SUCCESS        3            82        479.99        0.3        480.29
    412        SUCCESS        3            82        479.99        0.3        480.29
    87        SUCCESS        3            87        479.99        0.3        480.29
    252        SUCCESS        3            87        479.99        0.3        480.29
    417        SUCCESS        3            87        479.99        0.3        480.29
    92        SUCCESS        3            92        479.99        0.3        480.29
    257        SUCCESS        3            92        479.99        0.3        480.29
    422        SUCCESS        3            92        479.99        0.3        480.29
    97        SUCCESS        3            97        479.99        0.3        480.29
    262        SUCCESS        3            97        479.99        0.3        480.29
    427        SUCCESS        3            97        479.99        0.3        480.29
    102        SUCCESS        3            102        479.99        0.3        480.29
    267        SUCCESS        3            102        479.99        0.3        480.29
    432        SUCCESS        3            102        479.99        0.3        480.29
    107        SUCCESS        3            107        479.99        0.3        480.29
    272        SUCCESS        3            107        479.99        0.3        480.29
    437        SUCCESS        3            107        479.99        0.3        480.29
    58        SUCCESS        3            58        479.99        0.3        480.29
    223        SUCCESS        3            58        479.99        0.3        480.29
    388        SUCCESS        3            58        479.99        0.3        480.29
