========== OUTPUT ==========
Cloudlet ID    STATUS    Data center ID    VM ID    Time    Start Time    Finish Time    BWCost    CPUCost
    99        SUCCESS        4            49        0.3        9.93        21.25            23.7            10.19
    85        SUCCESS        4            30        0.3        9.29        21.36            56.8            10.86
    140        SUCCESS        4            42        0.3        17.16        21.47            17.5            3.87
    107        SUCCESS        4            51        0.3        16.3        21.47            53.7            4.65
    80        SUCCESS        4            22        0.3        11.34        21.58            51.2            9.21
    149        SUCCESS        4            15        0.3        13.76        21.9            17.7            7.33
    191        SUCCESS        4            58        0.3        12.84        22.03            33.1            8.27
    51        SUCCESS        4            35        0.3        18.77        22.14            19.4            3.04
    112        SUCCESS        4            38        0.3        12.95        22.65            30            8.72
    192        SUCCESS        3            6        0.3        0.3        23.03            44.3            11.37
    150        SUCCESS        4            62        0.3        20.26        23.09            19.1            2.55
    174        SUCCESS        3            8        0.3        15.17        23.14            52.3            3.98
    210        SUCCESS        4            37        0.3        14.67        23.2            13.2            7.68
    97        SUCCESS        4            54        0.3        12.84        23.31            30            9.42
    257        SUCCESS        4            53        0.3        11.12        23.55            17.2            11.19
    176        SUCCESS        3            10        0.3        0.3        23.58            24.7            11.64
    249        SUCCESS        4            32        0.3        14.05        23.73            26.3            8.71
    37        SUCCESS        4            43        0.3        12.13        23.84            45            10.54
    171        SUCCESS        4            48        0.3        16.41        23.84            36.4            6.69
    148        SUCCESS        4            40        0.3        14.4        23.95            14.4            8.6
    113        SUCCESS        4            61        0.3        18.59        23.95            25.6            4.82
    49        SUCCESS        4            41        0.3        12.13        24.1            32.7            10.77
    206        SUCCESS        4            29        0.3        12.13        24.21            25.8            10.87
    248        SUCCESS        4            59        0.3        17.68        24.21            41.5            5.88
    215        SUCCESS        4            20        0.3        19.13        24.32            51.8            4.67
    213        SUCCESS        4            23        0.3        12.02        24.32            45.3            11.07
    121        SUCCESS        4            60        0.3        13.65        24.71            38.2            9.96
    194        SUCCESS        4            47        0.3        19.4        24.82            26.5            4.88
    76        SUCCESS        4            31        0.3        15        24.95            47.2            8.96
    69        SUCCESS        3            13        0.3        12.03        24.98            39.7            6.48
    123        SUCCESS        4            57        0.3        13.94        25.16            44.2            10.1
    114        SUCCESS        4            56        0.3        20.15        25.53            48            4.84
    103        SUCCESS        4            46        0.3        16.09        25.64            25.6            8.6
    199        SUCCESS        4            63        0.3        20.04        25.64            13.1            5.04
    93        SUCCESS        4            35        0.3        22.14        25.75            23.3            3.25
    111        SUCCESS        4            26        0.3        18.89        25.9            37.7            6.3
    187        SUCCESS        4            27        0.3        14.78        26.01            27.1            10.11
    237        SUCCESS        2            1        0.3        0.3        26.11            41.5            7.74
    158        SUCCESS        4            17        0.3        15.8        26.2            41.1            9.36
    178        SUCCESS        3            12        0.3        17.58        26.6            7.8            4.51
    202        SUCCESS        4            42        0.3        21.47        26.67            38.6            4.68
    153        SUCCESS        4            49        0.3        21.25        26.98            38.7            5.16
    87        SUCCESS        4            52        0.3        17.46        27.09            14.2            8.67
    100        SUCCESS        4            24        0.3        19.73        27.2            42.8            6.73
    167        SUCCESS        4            64        0.3        20.26        27.2            28.3            6.25
    233        SUCCESS        4            25        0.3        19.84        27.6            38.1            6.99
    236        SUCCESS        4            16        0.3        20.95        27.71            44.8            6.09
    120        SUCCESS        4            38        0.3        22.65        27.82            55.2            4.66
    229        SUCCESS        4            58        0.3        22.03        28.16            23.3            5.51
    89        SUCCESS        4            41        0.3        24.1        28.27            17.4            3.75
    138        SUCCESS        4            31        0.3        24.95        28.63            6.5            3.31
    211        SUCCESS        4            63        0.3        25.64        28.82            23.8            2.86
    276        SUCCESS        4            19        0.3        20.15        28.93            21.9            7.9
    216        SUCCESS        4            60        0.3        24.71        29.04            35.5            3.9
    204        SUCCESS        4            43        0.3        23.84        29.15            44.2            4.78
    182        SUCCESS        4            57        0.3        25.16        29.15            42.8            3.6
    294        SUCCESS        4            21        0.3        18.48        29.26            30.1            9.7
    160        SUCCESS        4            50        0.3        17.57        29.26            28.2            10.52
    275        SUCCESS        4            34        0.3        20.95        29.37            14.9            7.58
    134        SUCCESS        4            45        0.3        18.04        29.48            41.3            10.29
    188        SUCCESS        4            18        0.3        20.73        29.73            24.7            8.1
    78        SUCCESS        4            33        0.3        20.84        29.84            33.9            8.1
    259        SUCCESS        4            23        0.3        24.32        29.99            28.9            5.1
    200        SUCCESS        4            35        0.3        25.75        30.1            28            3.91
    116        SUCCESS        4            61        0.3        23.95        30.1            26.7            5.53
    181        SUCCESS        3            11        0.3        19.25        30.34            16.9            5.55
    154        SUCCESS        4            52        0.3        27.09        30.54            33.4            3.1
    105        SUCCESS        4            22        0.3        21.58        30.65            38.3            8.16
    141        SUCCESS        4            56        0.3        25.53        30.9            46.4            4.83
    185        SUCCESS        4            36        0.3        21.14        31.08            25.1            8.95
    92        SUCCESS        4            30        0.3        21.36        31.25            29.1            8.91
    230        SUCCESS        4            63        0.3        28.82        31.41            18.6            2.33
    284        SUCCESS        4            37        0.3        23.2        31.58            18.3            7.54
    130        SUCCESS        4            28        0.3        20.62        31.85            23.7            10.1
    168        SUCCESS        4            44        0.3        20.15        31.96            26.3            10.63
    127        SUCCESS        4            41        0.3        28.27        32.07            43.2            3.42
    273        SUCCESS        4            53        0.3        23.55        32.31            10.8            7.88
    231        SUCCESS        4            55        0.3        20.51        32.51            48.4            10.8
    258        SUCCESS        4            29        0.3        24.21        33.26            41.9            8.15
    278        SUCCESS        4            40        0.3        23.95        33.51            22.6            8.61
    186        SUCCESS        4            51        0.3        21.47        33.62            31.3            10.94
    147        SUCCESS        4            38        0.3        27.82        33.79            34.9            5.37
    137        SUCCESS        4            54        0.3        23.31        33.9            13.9            9.53
    157        SUCCESS        4            62        0.3        23.09        33.9            34.1            9.73
    293        SUCCESS        4            45        0.3        29.48        34.01            39.5            4.08
    283        SUCCESS        4            48        0.3        23.84        34.13            42.2            9.26
    180        SUCCESS        4            31        0.3        28.63        34.24            51.9            5.05
    205        SUCCESS        4            36        0.3        31.08        34.24            41.4            2.84
    224        SUCCESS        4            49        0.3        26.98        34.24            16.1            6.53
    285        SUCCESS        4            15        0.3        21.9        34.35            48.1            11.2
    245        SUCCESS        4            42        0.3        26.67        34.35            39.8            6.92
    183        SUCCESS        3            14        0.3        14.54        34.36            49.3            9.91
    193        SUCCESS        4            52        0.3        30.54        34.46            34.5            3.53
    227        SUCCESS        4            57        0.3        29.15        34.46            42.1            4.78
    244        SUCCESS        3            7        0.3        13.13        34.56            15.1            10.71
    207        SUCCESS        4            17        0.3        26.2        34.84            7.5            7.77
    251        SUCCESS        4            32        0.3        23.73        34.95            39.4            10.1
    170        SUCCESS        4            50        0.3        29.26        34.95            43.2            5.12
    189        SUCCESS        3            5        0.3        12.13        35.03            18.6            11.45
    228        SUCCESS        4            20        0.3        24.32        35.12            45.4            9.72
    195        SUCCESS        4            47        0.3        24.82        35.23            25.5            9.37
    184        SUCCESS        3            9        0.3        20.13        35.36            45.4            7.62
    172        SUCCESS        4            26        0.3        25.9        35.51            44            8.66
    136        SUCCESS        4            41        0.3        32.07        35.62            15.4            3.2
